epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.6146100802532813
15.0,16.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.6799540794278988
15.0,16.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.6857641724705538
15.0,16.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.7003470662477992
15.0,16.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.757811391082908
15.0,16.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.7443929644605402
15.0,16.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.6545720592199546
15.0,16.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.7323167560749227
15.0,16.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.7319451225664788
15.0,16.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.7194377643167412
15.0,16.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.7402690454267985
15.0,16.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.7742557186061778
15.0,16.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.6795878808803589
15.0,16.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.6963516575190729
15.0,16.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.7200648414233993
15.0,32.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7644182816357681
15.0,32.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.8082300837490305
15.0,32.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.8118689824960686
15.0,32.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.70842692226199
15.0,32.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.7804287212791837
15.0,32.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.778008573833812
15.0,32.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.786212819705352
15.0,32.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8320260684657322
15.0,32.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.8001840795322405
15.0,32.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.7542512095186744
15.0,32.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.7755790613878064
15.0,32.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.7892825832205747
15.0,32.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.7998429116017952
15.0,32.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.7899674555354531
15.0,32.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8180066940013914
15.0,32.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.765429533083655
15.0,32.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.7895385484069211
15.0,32.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.7547080097260476
15.0,32.0,0.001,no,6.0,bce,"(20, 10, 5)",0.871906710179764
15.0,32.0,0.001,no,6.0,bce,"(40, 20, 10)",0.862811273005121
15.0,32.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8686688771787909
15.0,32.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.86835782572691
15.0,32.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8528335372482855
15.0,32.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8424245424850584
15.0,32.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8565873654573554
15.0,32.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8393234996013433
15.0,32.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8358846068050342
15.0,32.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8430294037887288
15.0,32.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8543278315457496
15.0,32.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8312659456750647
15.0,32.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8483907454368153
15.0,32.0,0.001,no,12.0,bce,"(40, 20, 10)",0.8340548203043644
15.0,32.0,0.001,no,12.0,bce,"(60, 30, 15)",0.8282639822547774
15.0,32.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8412916118043979
15.0,32.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.844681002833035
15.0,32.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8368952899108647
15.0,32.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.613553523936743
15.0,32.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.6806153369218576
15.0,32.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.6849583989020737
15.0,32.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.5955299375593763
15.0,32.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.6204548102941806
15.0,32.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.6537679322231845
15.0,32.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.6133530503419247
15.0,32.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.6930930795912863
15.0,32.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.7098146959780692
15.0,32.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.5996845880451497
15.0,32.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.6101080351310417
15.0,32.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.6408856464919733
15.0,32.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.6437011066671524
15.0,32.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.6945588702499839
15.0,32.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.7104043575484714
15.0,32.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.6079116615635868
15.0,32.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.6167509769705654
15.0,32.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.653058263792088
15.0,32.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.8434313997523496
15.0,32.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.849239592733609
15.0,32.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8443361967666746
15.0,32.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.8238308817123504
15.0,32.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8484952947548265
15.0,32.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.8560745405724509
15.0,32.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.8294750198210794
15.0,32.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.841700722661345
15.0,32.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8514268589907162
15.0,32.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.8465079014914384
15.0,32.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.8723314786852088
15.0,32.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8577323770276554
15.0,32.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8278834907027499
15.0,32.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8423968967366524
15.0,32.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8446636932787301
15.0,32.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8256056011952362
15.0,32.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8545002664714548
15.0,32.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.8309669781544428
