epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.6742590143111143
15.0,16.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.6872369730720326
15.0,16.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.6801902251996047
15.0,16.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.7178809846521824
15.0,16.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.7380885840615465
15.0,16.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.6524905838771379
15.0,16.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.7057063209308757
15.0,16.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.7135700939242572
15.0,16.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.6869209437395201
15.0,16.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.7407874566368745
15.0,16.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.73295599643583
15.0,16.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.6792492600413448
15.0,16.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.689430991993441
15.0,16.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.7118310594261633
15.0,32.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7502654209186143
15.0,32.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.7737314791350517
15.0,32.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.7857634011703897
15.0,32.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.7254357800355754
15.0,32.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.7527348412909949
15.0,32.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.7502198826381473
15.0,32.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.756995943332415
15.0,32.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.7892645660729164
15.0,32.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.7851475371837949
15.0,32.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.7168615394965
15.0,32.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.7285680306112178
15.0,32.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.7520953532994762
15.0,32.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.7546416540491508
15.0,32.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.7920770531570649
15.0,32.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.7708921696203729
15.0,32.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.7241325908967983
15.0,32.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.7594476998990277
15.0,32.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.7472805879798617
15.0,32.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8600041620525527
15.0,32.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8635649866123671
15.0,32.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8616439561914001
15.0,32.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8430581977435779
15.0,32.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8442747299579524
15.0,32.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8392219787148613
15.0,32.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8578102429266784
15.0,32.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8542099398338268
15.0,32.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8389713860995793
15.0,32.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8411563645034604
15.0,32.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8436586636596707
15.0,32.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8456841352128368
15.0,32.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8453048419456355
15.0,32.0,0.001,no,12.0,bce,"(40, 20, 10)",0.8541716242245214
15.0,32.0,0.001,no,12.0,bce,"(60, 30, 15)",0.852821999411077
15.0,32.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8568704390789817
15.0,32.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.84746780596751
15.0,32.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8250182496044519
15.0,32.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.6329339579193853
15.0,32.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.6958273499191554
15.0,32.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.6695871307419258
15.0,32.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.6395700953082142
15.0,32.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.656217032503556
15.0,32.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.657168500145816
15.0,32.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.6600000170641839
15.0,32.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.6886976653712376
15.0,32.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.6800600573086154
15.0,32.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.6513038222602462
15.0,32.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.6533946983626467
15.0,32.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.6465388779270963
15.0,32.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.6624506395054836
15.0,32.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.6625922064741592
15.0,32.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.6942803234166117
15.0,32.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.6302332148135943
15.0,32.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.6655574495669906
15.0,32.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.6651174589951218
15.0,32.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.8208651366105246
15.0,32.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8450219624169986
15.0,32.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8413137579179352
15.0,32.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.7910833939850038
15.0,32.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8356304372969955
15.0,32.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.8345310803810563
15.0,32.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.8153322506294632
15.0,32.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8415615101411782
15.0,32.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8449167359671085
15.0,32.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.7998036072521889
15.0,32.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.8300938732954347
15.0,32.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8328854944190924
15.0,32.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8214745434775007
