epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,32.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.6617919295858323
15.0,32.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.6586255633404166
15.0,32.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.639021459662669
15.0,32.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.6281941837841444
15.0,32.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.6650512902372606
15.0,32.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.6391838901519621
15.0,32.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.650690056113775
15.0,32.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.6821710616389041
15.0,32.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.6539333358435034
15.0,32.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.63946352095554
15.0,32.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.6486301711501866
15.0,32.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.6427111205425361
15.0,32.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.6542618338403733
15.0,32.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.7012550470129045
15.0,32.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.6444874962151951
15.0,32.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.6483783663755225
15.0,32.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.6477514465519212
15.0,32.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.8114127760926665
15.0,32.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8242245841702269
15.0,32.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8271563928644353
15.0,32.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.7698364678026612
15.0,32.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8114735608196023
15.0,32.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.8115030850459983
15.0,32.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.812440257667697
15.0,32.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8315572005853284
15.0,32.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8314427084974932
15.0,32.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.8133176398941196
15.0,32.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.8283540546098788
15.0,32.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8340147255340925
15.0,32.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8366032110991958
15.0,32.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8319669012673804
15.0,32.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8400247159797418
15.0,32.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8076867919240048
15.0,32.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8229580292197465
15.0,32.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.8290351965530353
15.0,32.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.6469448505194998
15.0,32.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.6345579662244503
15.0,32.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.6267564855610125
15.0,32.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.6344528121319281
15.0,32.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.6285940115617952
15.0,32.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.6428355735052529
15.0,32.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.6458462132595918
15.0,32.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.6347855306495432
15.0,32.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.6395785984980316
15.0,32.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.6186579404806848
15.0,32.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.636837340223408
15.0,32.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6354240553392455
15.0,32.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.6290327189447473
15.0,32.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.6275747085664362
15.0,32.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6420863440405125
15.0,32.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.6155888330162042
15.0,32.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.6191794668514591
15.0,32.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.6313506240511645
15.0,32.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.6643059099231211
15.0,32.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.6987491711314643
15.0,32.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.7372184452340861
15.0,32.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.6397978560951069
15.0,32.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.6519183364467517
15.0,32.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.6857052015438593
15.0,32.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.690134198656304
15.0,32.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.7196834681829684
15.0,32.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.7416479543014299
15.0,32.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.6772874090617763
15.0,32.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.6799111595862461
15.0,32.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.6959826468242577
15.0,32.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.7035785980920579
15.0,32.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.7171766820007298
15.0,32.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.7378101165279348
15.0,32.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.6630838043351668
15.0,32.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.692294456686623
15.0,32.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.7078523268473007
15.0,64.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7167194567529506
15.0,64.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.7482063732884646
15.0,64.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.7526225798376031
15.0,64.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.6752024846792682
15.0,64.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.7183648529900261
15.0,64.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.7350970217101894
15.0,64.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.7302294338092649
15.0,64.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.7455688698478182
15.0,64.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.756282941504861
15.0,64.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.698459354561965
15.0,64.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.7152430410433782
15.0,64.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.7165863057458411
15.0,64.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.7205504566635476
15.0,64.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.7083974594223071
15.0,64.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.746835213404597
15.0,64.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.6864205593660583
15.0,64.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.6906931856628417
15.0,64.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.7166322740433863
15.0,64.0,0.001,no,6.0,bce,"(20, 10, 5)",0.845451528447157
15.0,64.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8433004316999674
15.0,64.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8382519997948469
15.0,64.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8316189412097419
15.0,64.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.855961035379926
15.0,64.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8364676031735426
15.0,64.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8358277274780354
15.0,64.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8197397248534571
15.0,64.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8211265184220475
15.0,64.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8430590730516343
15.0,64.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8557993284203333
15.0,64.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8223589134155144
15.0,64.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8501301070718825
15.0,64.0,0.001,no,12.0,bce,"(40, 20, 10)",0.8299108859649622
15.0,64.0,0.001,no,12.0,bce,"(60, 30, 15)",0.7988463693715987
15.0,64.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8516645424876724
15.0,64.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.8386336459777114
15.0,64.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8105787241035505
15.0,64.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.6431945042677834
15.0,64.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.6374023512620753
15.0,64.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.6636785628211145
15.0,64.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.6221794311392745
15.0,64.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.6350266782138735
15.0,64.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.6375874307651209
15.0,64.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.6452005477988134
15.0,64.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.6615195568809634
15.0,64.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.6628764334841305
15.0,64.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.651524353830275
15.0,64.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.6414605271938819
15.0,64.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.6464088980265097
15.0,64.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.6538245189113214
15.0,64.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.6690232926883688
15.0,64.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.6824522321283456
15.0,64.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.6461915631463547
15.0,64.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.6243200736727726
15.0,64.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.6460219447922969
15.0,64.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.7800042470284891
15.0,64.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.7969654505769673
15.0,64.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8134961557277495
15.0,64.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.7350233242533154
15.0,64.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.7695800031195811
15.0,64.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.7842246226584172
15.0,64.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.7834545690049325
15.0,64.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8051788767912278
15.0,64.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8149917951502482
15.0,64.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.7287386198126814
15.0,64.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.7770036683025238
15.0,64.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.7730739495208995
15.0,64.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.772500042295794
15.0,64.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8111250728028149
15.0,64.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8097008225936828
15.0,64.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.7306282639955398
15.0,64.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.7796631674741965
15.0,64.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.7707681554133453
15.0,64.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.6139870958098438
15.0,64.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.6245979844485444
15.0,64.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.635685573268426
15.0,64.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.6150228554851713
15.0,64.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.6630896341478505
15.0,64.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.6359122597375805
15.0,64.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.6447353283199518
15.0,64.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.640939425080871
15.0,64.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.6379384783061767
15.0,64.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.6267840451387919
15.0,64.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.619974645637232
15.0,64.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6177186488953851
15.0,64.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.6338613767869639
15.0,64.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.639674672031401
15.0,64.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6238578864985492
15.0,64.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.632520951529565
15.0,64.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.6208562706661619
15.0,64.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.6107326405247689
15.0,64.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.654449727447128
15.0,64.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.6850035541091858
15.0,64.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.6927074568159058
15.0,64.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.6318105055777733
