epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,32.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.7384794390351401
15.0,32.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.6756240434999118
15.0,32.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.7066393700074519
15.0,32.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.7092547551066958
15.0,32.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.7095398995060714
15.0,32.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.7190115071175862
15.0,32.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.7344836412933091
15.0,32.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.6881061486700187
15.0,32.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.7221315664716202
15.0,32.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.7321037533722773
15.0,32.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.7136139445162781
15.0,32.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.7109234420909125
15.0,32.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.7217525290861447
15.0,32.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.6992300765418841
15.0,32.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.7059187595469005
15.0,32.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.6785993791662919
15.0,32.0,0.001,no,6.0,bce,"(20, 10, 5)",0.7786696710148906
15.0,32.0,0.001,no,6.0,bce,"(40, 20, 10)",0.7785322314543236
15.0,32.0,0.001,no,6.0,bce,"(60, 30, 15)",0.7770998601573513
15.0,32.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.78670487506534
15.0,32.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.773452757110579
15.0,32.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.7739285794955787
15.0,32.0,0.001,no,9.0,bce,"(20, 10, 5)",0.7801450201369272
15.0,32.0,0.001,no,9.0,bce,"(40, 20, 10)",0.7837513626017211
15.0,32.0,0.001,no,9.0,bce,"(60, 30, 15)",0.7755646716211572
